State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Uttar Pradesh,Unnao,1994,101.15764100683134,71.20478527543106,84.63519458355984,84.6992469224109,100.0118951776622,72.35053110460021,89.40279213783036,77.15987394725289
Uttar Pradesh,Unnao,1995,121.38524923228616,95.79028717349496,104.358311914678,106.9849939538161,120.32707451735402,96.8484618884271,114.48567425417804,100.95746340173568
Uttar Pradesh,Unnao,1996,121.35868175311634,90.59596465145293,105.30047115675475,104.36149913560587,120.51938108691654,91.43526531765274,108.26865298204012,95.47397595367573
Uttar Pradesh,Unnao,1997,128.21989384343038,93.28392300731073,110.75190842537057,109.14579052799358,127.00910610445968,94.49471074628144,113.81155534299975,99.19436659283434
Uttar Pradesh,Unnao,1998,115.07702568984675,94.94305760126664,100.74246755824,103.58751694978446,114.42228898238979,95.59779430872359,111.69917140437246,98.32091188674092
Uttar Pradesh,Unnao,1999,125.33122900769337,85.42142347772807,105.37632624271072,103.93655418371269,124.00686651885714,86.7457859665643,111.19163714503497,90.92238298639828
Uttar Pradesh,Unnao,2000,121.1927628006136,95.18754406127901,105.46891387870537,106.76794337708061,119.9569689520592,96.4233379098334,112.37204838839922,100.91747725478115
Uttar Pradesh,Unnao,2001,125.0948270770687,100.44349670416803,110.38517005471441,111.38870849043359,124.09924919745437,101.43907458378236,116.54124026722971,105.4823467847063
Uttar Pradesh,Unnao,2002,111.94498734937142,76.53565057113113,94.24031896025127,92.88862049231989,110.20333828213832,78.27729963836423,97.91488089698069,83.78808635328188
Uttar Pradesh,Unnao,2003,110.75046489639506,90.98380302291082,96.70711269647305,99.48046020525965,110.0952360844821,91.63903183482378,106.89223735666683,94.45894664770643
Uttar Pradesh,Unnao,2004,127.84545888553055,94.26755224869183,111.0565055671112,109.62478268643436,126.77867541253137,95.334335721691,113.68939742268026,99.94425309407205
Uttar Pradesh,Unnao,2005,125.31280634151253,94.5041983208447,109.53834682536481,108.50755665379052,124.11513095250706,95.70187370985016,112.90555026766927,100.32405179554644
Uttar Pradesh,Unnao,2006,132.06559011652467,103.44574364095274,115.85192554136235,116.32953041956638,130.48850763490836,105.02282612256904,121.01693070038795,109.74506697680826
Uttar Pradesh,Unnao,2007,114.68012839441002,84.23442171038448,99.10501534988276,97.95877607296835,113.52125957059862,85.39329053419588,102.17819633216182,89.50176541615019
Uttar Pradesh,Unnao,2008,114.96382176026572,81.80666467138927,98.38524321582747,97.02077164766881,113.4217154747103,83.34877095694468,100.99306369852313,87.67019515325536
